序号,评论者,评分,内容,时间
1,晚安小姐,力荐,爱情是一场没有尽头的虚幻追逐,2008-06-27 00:43:18
2,弗朗索瓦张。,推荐,剪辑跟分镜做得比大多数真人电影还要细致！,2009-02-05 17:17:19
3,A-sun*,推荐,剪辑要不要这么这么好。,2010-01-10 22:54:33
4,颜小兽,力荐,太敢想了，前一刻钟都没有入戏，入戏以后觉得时间飞快。故事再复杂画面再花俏都没有关系，主题超简单，简单到想哭：我爱你，穷尽一生也要找到你。我不能向糟糕的一切投降，糟糕的标准，糟糕的规则，糟糕的世俗标签，都离我远一点。那些狂喜和剧痛，那些寻找和梦想，都是爱的代价。但我觉得值。,2011-10-05 23:58:19
5,寂地,力荐,"看到后来哭得岔气了..不是悲伤的,那是让人觉得几乎有某种幸福感的温暖.不知道该如何形容.",2006-01-01 16:36:02
6,喽喽,推荐,纯真让人永远年轻！有多少人，已经被亡灵打败了！忘记了追逐？,2010-12-25 00:26:48
7,chrissy,较差,着重刻画日本人性格中最矫情的部分，2星,2009-03-18 11:31:40
8,张小北,力荐,只有动画片才能完成如此精妙的视听语言的组合。教科书级别的剪辑和调度。,2016-02-06 21:48:20
9,yamamaya,力荐,精彩，女人爱上的永远是爱，而不是人，我们从爱的感觉中获得满足，获得存在的快感，至于对象是什么已经不再重要（宝塚长盛不衰就是这个理,2010-08-05 17:27:16
10,掀桌超人,力荐,人生如戏，戏如人生。用这样的方式来讲述这个凄美的故事，佩服作者,2006-12-18 17:10:19
11,黑刀,力荐,刚看完《千年女优》，哭到泣不成声。,2009-10-31 21:44:54
12,同志亦凡人中文站,力荐,如梦如幻的影海穿梭，天马行空的（反）叙事结构，初见即是千年。“我真正爱的是追逐他的旅途”，关于爱，只是爱，一封署名今敏的情书。（导演的才华太让人叹为观止了，看一部少一部！！！！！）,2015-09-04 08:31:37
13,芦哲峰,力荐,一次邂逅，千年追寻。穿越不同的时空，唯爱永生。爱是恒久忍耐，爱是永不止息。,2015-11-15 08:06:11
14,胤祥,力荐,原、节、子。,2007-05-15 00:56:44
15,Q。,推荐,“我一天比一天更爱他！”爱是困惑一个人终生的魔咒，花尽一生的时间来追寻那个永远也无法接触到的影子。叙事手法新颖，华丽的剪辑也是无可挑剔，但剧本始终太过平庸，有炫技之嫌。★★★☆,2011-04-17 00:51:17
