序号,评论者,评分,内容,时间
1,荞麦,推荐,清晰果断。……另外这部电影真是不错的试金石，看看短评就知道了。只从中看到痛苦，而看不到痛苦之中挟裹着快乐的人，大概从没认真追求过什么。,2015-01-21 11:16:32
2,黄青蕉,力荐,我在同样变态的师傅手下呆了三年，祖宗十八代被骂了个遍，没空吃饭上厕所睡觉交朋友谈恋爱，脊椎侧弯，颈椎强直，严重慢性疲劳，什么都没干，就是学敲键盘写文章。而我的极限在我妈看来不过是纸上吹牛皮而已。这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力,2015-01-12 23:03:33
3,柏林苍穹下,推荐,他得到了世界，他失去了灵魂。,2015-01-07 01:36:31
4,海带岛,推荐,我身边很多朋友讨厌《爆裂鼓手》。但我很喜欢。可能因为我没觉得它在讲音乐。它太绝望了，一个注定不是天才的人，期望接近不朽哪怕多一点。正因为他追求不朽的方式如此费尽心机、如此大动干戈，简直像自毁，认真得透出滑稽，我才觉得可以和他交流。这片子当时看得我挺难过，又兴奋又难过。,2015-12-12 21:28:59
5,亵渎电影,推荐,J.k.西蒙斯应该能拿下男配！这片子的节奏感实在太棒了，爵士乐和剪辑简直融为一体了，还有西蒙斯机关枪版恶毒的台词，脏字就像鼓点一样密集且激烈，几场打鼓的重头戏在镜头上都是细碎古怪，靠剪辑重新赋予整体戏一气呵成且不断加速的节奏，可惜整部电影还是碎的，否则就真成大卫·芬奇了。★★★★,2015-01-07 01:10:36
6,米粒,力荐,燃！爆！了！相信每个练过乐器，或者在艺术表演方面付出过汗水的人都能找到深刻的共鸣，那种对严师又敬又怕，想汲取他们的能量却感受被逼至悬崖的窒息感，想在技术上完美再完美一点却发现音乐远不止这些的惊喜与恐惧... 片子就像里面的爵士乐，是肾上腺素爆发的血汗结晶，它不完美却无可取代,2014-09-30 12:14:42
7,裘笛,还行,"我不否認在觀賞度上，這是部精彩的電影。剪輯犀利，節奏甚好，男主男配都有優秀演出。但是我不認同裡面所肯定的價值觀。亦即用肉體/精神虐待逼迫出來的人才是真天才，並認為這種""犧牲""是必要。我只能說那是終於找到男主可以互殺互陰配一對，但在那之前毀掉了多少個喜歡音樂又有才能的學生?",2014-11-18 01:56:00
8,Indecent time,力荐,励志你妹，鸡汤你娘，努力就好是废话，干得不错是毒药，人们只看结果,2015-01-07 10:30:50
9,KREJERK,较差,爵士乐怎么死的，原来是一帮把音乐玩成竞技体育的白人自己搞死的,2015-01-12 11:25:44
10,陀螺凡达可,推荐,音符般流动的炫目剪辑真是赏心悦目，结尾SOLO让全场观众High到爆血管，爵士酒吧似真似假的“自白”是全片戏肉。迈尔斯·特勒和J·K·西蒙斯的巅峰表演火花四溅。不过好几个段落完全照搬《社交网络》，不少情节设置为了追求戏剧化也稍嫌刻意。,2014-05-24 08:33:04
11,同志亦凡人中文站,力荐,是赞美还是颤抖，面对反社会人格的怒放？师徒俩用极限来磨淬才华、恨不得扼杀对方的疯狂：这个世界有太多优秀，但只有承受过系千钧于一发而不断的重量才能成就伟大。我的年度最佳，J·K·西蒙斯奥斯卡男配有戏了…,2014-10-23 17:00:05
12,根,力荐,真是太庆幸自己没有愿意为之全力以赴的梦想了。,2015-02-08 19:05:24
13,小易甫,推荐,虽然很棒，但我非常赞同那条一星短评的观点。影片事实上不断放大恶的细节，可当你真正乐意如此近距离观察这一层面，就已经隐含了你对它的赞美。,2015-01-23 04:26:05
14,烏滌非,很差,這電影讓人看得很上火，個人來講，從來沒有這樣厭惡一部戲。無論是為什麼，在精神上這樣逼迫別人都是錯的。Fletcher不是什麼魔鬼導師，他就是個人渣。整部戲完全摧毀了爵士鼓可以給人帶來的一切美和享受，只有人與人間病態的互相折磨。,2014-10-26 23:57:24
15,CharlesChou,力荐,导演对音乐的掌控可说是登峰造极（参考前年导演编剧的Grand Piano，虽剧情极糟但钢琴演奏段落也与本片如出一辙地血脉喷张），高速剪辑全面追赶大卫芬奇，几近变态的师生角力让主角数次被逼上绝路时给观众带来一种惊悚片般的窒息快感，最后控制地位逆转的大爆发只能用三个字形容：狠！准！爽！,2015-01-06 16:33:02
