序号,评论者,评分,内容,时间
1,欧妮欧妮欧妮,推荐,虽然是不及龙猫，千与千寻，但是17万张的纯手绘…那背景真心好漂亮~而且这个指向就是给小孩子看的！人老了，反而会计较“这到底在表达什么，这到底在讽刺什么？完全不知所云”难道一定要超越前作？一定要深刻的表达什么？他只是单纯的想表达一种不被污染的童真，没有那么多的为什么和逻辑啊,2012-08-31 15:47:10
2,焰熠,推荐,谁说5岁就不可以早恋的 波妞为了宗介在海浪上奔跑的样子太可爱了 为了喜欢的人 踏过千山万水又何妨,2018-01-16 21:25:19
3,遇见彩虹🌈,推荐,感觉宫崎骏真的可以从小朋友的视角去看问题，一举一动都很真实，故事很温情。,2017-11-26 13:32:38
4,海心,力荐,好可爱啊，可爱的波妞，懂爱的宗介,2009-05-17 19:08:46
5,我坏故我在,力荐,人物造型和以前的很多片子有类似点，而且还能找到以前片子里的龙套……故事居然是小美人鱼的幼儿版……不过很好看啊很好看啊很好看啊……,2008-08-05 09:10:26
6,蜉蝣,推荐,5岁的宗介的压力可太大了。,2018-07-03 16:45:13
7,影志,推荐,一如既往的宫崎骏，纯真、梦幻、迷人…,2008-08-28 00:03:05
8,小十三,推荐,感动，无法自持,2018-01-11 12:43:55
9,阿vi子,力荐,BAKA BAKA BAKA,2017-07-18 20:18:52
10,同志亦凡人中文站,推荐,可爱的波妞简直挠得人心痒痒啊。宫崎骏的奇幻想象力依然让人叹为观止，只是主题稍微幼齿了些。当然如果把它当作一部真正给孩童看的动画绝对满分。,2012-07-06 22:23:31
11,大头绿豆,推荐,美好如昨。,2009-08-30 00:21:05
12,松如,力荐,给五星是因为我爱宫崎骏。。,2008-08-31 11:22:11
13,谢谢你们的鱼,推荐,宫崎骏是个悲观的环保主义者 但同时又对人类最纯洁的感情有着无限的信心,2009-07-30 20:59:10
14,瓦达西瓦又又又桑只爱这巧克力,还行,孩她爹和孩她娘的故事应该比较有意思,2009-04-02 18:17:37
15,momo,力荐,环保和反战貌似是宫崎骏动画里不衰的两个主题，个人风格强烈。,2018-04-30 23:30:16
