序号,评论者,评分,内容,时间
1,Ridden,力荐,你可以像疯狗那样对周围的一切愤愤不平， 你可以诅咒命运，但是等到最后一刻到来之时， 你还得平静的放手而去。每个人在某种程度上都对自己有不同的认识，但是我们最后都会去往同一个地方。只是走的路不同罢了。你也有属于你的道路。,2009-01-10 11:24:03
2,minhe,推荐,你前进，我倒退，我们爱对方整整一个曾经。,2010-05-20 22:28:38
3,海心,力荐,有种莫名的伤感。我们总会失去所爱之人，要不，怎么会感到他们有多重要呢。,2009-01-06 14:52:35
4,莫沂,力荐,阿甘正传+大鱼+摩托日记+罗拉快跑+千岁情人+第六感生死恋,2009-01-08 13:01:25
5,荔枝超人,力荐,关于时间关于爱……后40分钟忧伤到令人窒息。,2009-01-08 21:07:44
6,眠去,力荐,当他变成一个孩子，他开始迷惑，“我好似已经经历了一生。”他曾经的衰老，曾经的爱恋，曾经的年华，到了某一刻，只能轻轻放手，顺服地走向死亡。,2009-01-20 11:42:27
7,红豆♥,推荐,最喜欢黑人妈妈了，她是天生的母亲。T T,2012-09-19 22:30:06
8,熊阿姨,力荐,“于时间的长廊上你再也不等我”,2009-01-18 10:10:14
9,晨雾鹤影,推荐,"我们像婴儿一般来到这个世上,又像婴儿般安详的离去.留下的,也许都在最后与心爱的人眼神交汇那一个瞬间,从眼前飞逝而过的所有故事吧.",2010-02-15 15:29:24
10,西楼尘,力荐,我心目中最优秀的电影，至今无法超越。满满的都是时光的隽永、寂寞的主角和奇特的故事。影片的质感丝丝入扣，如同醇酒回味无穷。这是一个温柔的童话，黛西的女儿在母亲的病房里，读到本杰明写给她的那些不会被寄出的明信片“我想成为你的父亲，我这一生做过的所有事都没有这件有意义。”真是无比心碎。,2013-09-05 00:21:58
11,莫呼洛迦-屁股上的青春在歌唱,力荐,其实也是有感动，感动的点很奇妙。,2009-04-24 01:01:53
12,同志亦凡人中文站,推荐,时间的玩笑，时间的重量，这惊天动地的化妆...,2015-03-28 10:37:04
13,张小北,力荐,看了第二遍后，觉得是杰作。好电影就是每次看都会觉得心醉神迷。,2009-01-21 22:39:43
14,大島,推荐,我们每个人都有本杰明梦寐以求的能力：和爱的人一起变老。,2018-10-30 11:17:00
15,根,力荐,哇被两个女王睡过的男人，简直可以说是Holy cock了,2016-10-19 13:51:17
