序号,评论者,评分,内容,时间
1,malingcat,力荐,八公的主人，也在天堂的门口等了它很久吧。,2010-10-30 00:12:19
2,汪拾叁,力荐,这真是漫长的一生啊，八公。,2010-02-06 20:02:14
3,shu,力荐,Hachi就是爱一个人过一生了。,2010-02-14 23:07:02
4,farmyra,力荐,动物是我的死穴...从头哭到尾..,2010-02-05 14:36:08
5,倪娜,推荐,被狗狗的一往情深击倒，和老公两个哭得稀里哗啦。今天抱着家里的狗亲了一天。,2010-02-06 19:55:52
6,神迦乐小舞,力荐,这是我所看过的关于狗狗电影最感人的一部，我想它的成功之处就在于将重点正确放至在了对Hachi内心的刻画上，而没有像其他一些影片文不对题，偏偏喜欢渲染一些多余人物的情感，很显然，主题对了，观影者自然而然会买单。,2010-02-06 13:48:18
7,浑浊儿,推荐,"你要养狗,就不能当它是guest,十年可是一只狗的一辈子",2010-02-09 17:36:57
8,影志,力荐,“永远都不能忘记你所爱的人” 狗尚如此，人何以堪？5星给动情的真实故事。,2010-02-10 23:56:48
9,Y,力荐,“等有一天它会给你捡球的时候，一定有什么特殊的理由” 八公用这种方式来告别了他的主人....,2010-02-17 02:49:17
10,城南草木生,推荐,你和我在一起两年，你走之后，我剩下的人生都留给你了。。。,2010-03-31 23:12:47
11,玉米鸡蛋小笼包,力荐,纸巾抽到还剩最后一张,2010-02-06 00:11:23
12,Jiong,推荐,所以说，与人打交道越多，就会越喜欢狗,2010-02-21 06:06:59
13,Kelly光。,力荐,"哭死啦...想去涉谷看看那尊雕像...by the way,那个帅老头我好喜欢...!!!",2010-02-07 01:55:37
14,同志亦凡人中文站,推荐,看完只有轻飘飘的感动，故事性还是太弱了些。人类真无耻，主演表排第一位的为什么不是八公？！,2015-05-01 03:55:30
15,塔塔,力荐,这次不是拉布拉多，不是金毛，是默默无闻的秋田犬~在电影的最后部分我哭的稀里哗啦，意气风发的八公老了，脏了，以前不怎么喜欢他的女主人抱着它感动的流泪，大雪纷飞的夜里因为有火车来了八公又在等，似乎是回光返照般的看见男主人一如从前那样从火车站里走出来张开双臂要拥抱他~其实狗狗什么都知道,2010-02-21 10:51:04
