序号,评论者,评分,内容,时间
1,峰峰峰峰,推荐,见过磕长头的人吗？他们的手和脸脏得很，可他们的心特别干净。我卖过皮子，可我没办法。,2014-04-12 18:11:03
2,罗弘霉素,力荐,分不是给你陆川的，是给那些人,2010-03-02 05:46:44
3,King Sitcome,推荐,在中国，你就玩儿写实主义就行了——无论你看哪个阶层、哪个方面，都能震的你哑口无言、无言以对。那真是一种残酷美~···,2011-05-01 13:41:20
4,love mime,力荐,“你看过磕长头的人吗？他们的脸和手特别脏，但他们的心特别干净。”,2009-01-23 00:18:58
5,战国客,推荐,只能说陆川选对了题材~~,2008-03-18 14:05:25
6,Sunshine娜,推荐,没有歌颂，没有讽刺，没有批判，没有鞭笞，充斥全片的只有绝境中的挣扎，与自然抗争，与盗猎者抗争，与自己抗争。,2017-05-15 23:38:54
7,三丁,力荐,看了陆川近年的作品...觉得这片绝壁不是他拍的,2010-04-13 12:25:24
8,fallingraining,推荐,一群非专业演员演绎了一场感人的护羊行动。这种偷猎者就应该抓了就毙，政府应该尽到自己的职责。,2011-08-28 20:42:40
9,小白新之助,力荐,巡山队卖皮子赚补给，才能买汽油、买食物继续在恶劣的环境中追捕盗猎者。“用死去的藏羚羊来保护活着的藏羚羊”,2021-05-25 15:27:01
10,兮称,力荐,带给我的震撼远远超过电影本身,2013-12-16 23:15:12
11,宇宙,力荐,陆川的寻枪之前看过 没啥感觉 但是这部可可西里 应该向他致敬,2008-04-28 14:42:47
12,理想多钱一斤啊,力荐,这次真不是因为陆川成功抢占道德制高点。看得我口干舌燥。,2010-05-11 11:46:57
13,綦,力荐,震撼的天堂,2009-04-07 02:10:42
14,安蓝·怪伯爵𓆝𓆟𓆜,推荐,不能承受之重,2006-06-28 15:42:22
15,朝暮雪,推荐,《可可西里》《天狗》《光荣的愤怒》，三大“揭露黑暗势力”国产片。,2013-11-20 10:22:57
