序号,评论者,评分,内容,时间
1,Ridden,力荐,最后五分钟让我全身发抖！,2007-11-09 23:35:22
2,青菜萝卜和豆腐,推荐,为嘛医生不用锯子够手机？,2010-01-30 14:29:38
3,毛,推荐,可是跟电锯有毛线关系啊 明明是手动的,2010-12-07 21:31:42
4,是灰小猫啊,力荐,这其实是个励志片好不好，杀手先生告诉俺们即使在生命的尽头还是能干成很多事情滴~,2010-10-21 21:53:51
5,晨光荣耀,推荐,最终boss躺着不累吗？？,2009-03-09 23:35:00
6,satan,推荐,有些疑问。医生为什么不用电锯把手机勾回来。。。而是选择锯腿。。。他老婆一直在打电话，但是为什么后来密室里的电话不再响了？,2011-02-12 16:33:51
7,王xx,未评分,如果一开始够不到那个东西人家老头可不要急死了,2010-03-19 21:12:44
8,Elinor,推荐,这么多年了 没看之前我一直以为这片子是讲一个拿着电锯的杀人狂的故事...另外 我也终于明白了为什么豆瓣要改版把论坛话题隐藏 是为了防止我们看到剧透啊！！（那个剧透的人去死去死）,2010-11-11 21:59:14
9,kathyy,推荐,害我一晚都睡不着，三更半夜起来读英语！,2010-01-09 17:34:18
10,有心打扰,力荐,当那躺在地上一动不动的那个人站起来后，我就彻底震惊了。,2010-04-19 12:33:30
11,范小奚,力荐,看第一部的时候着实被他的情节设计给惊讶到了。,2008-07-21 12:46:09
12,束,力荐,第二次看，感觉着仍然是一部顶级的血腥电影，结构和叙事都很牛逼，叙事张弛有度。,2006-01-24 04:05:59
13,任小可051,力荐,他喜欢近距离观察受害人，这个结局直接满分。,2021-05-09 22:32:07
14,艾小柯,推荐,悬疑多过恐怖，结局很出人意料，非常值得一看。,2006-08-09 13:56:28
15,眼角的花朵,推荐,剧本唯一遗憾的地方是没有泄漏（分析）此人的变态动机，没有犯罪的心理学分析、社会学分析，这使它和《七宗罪》相比显得逊色。不过我还是很佩服这个创意，美国恐怖片发展到今天，血浆时代、血腥时代、性和喜剧的时代、心理分析时代都已经相继过时了，不怎么刺激了，如今拼的就是创意，用台湾广告业的行话讲，就是要……脑力激荡。,2008-06-23 10:45:57
