序号,评论者,评分,内容,时间
1,根,力荐,在这种家庭里做一条狗都好啊,2018-01-19 18:17:25
2,光明小卖部🐵,力荐,所有人都知道是化妆只有我一个人以为请的真实病人出演吗。。。,2017-12-06 15:10:45
3,巨米雨,力荐,"一碗甜而不腻的普世价值鸡汤，非常好喝。

看之前我以为是讲主角小男孩的，原来是章回体，每个人都有故事每个人都有视角每个人都有选择。

每个人都很美很好。

开演前基友给我说这部电影就像夏天一样清新，是啊没错，像泡在透明干净的玻璃瓶中的黄瓜水一样，安心又健康，还有甘甜味。",2017-11-30 15:09:07
4,西楼尘,还行,秋天排练的话剧春天才会公演，软盘誊抄的论文硬盘才能呈现。你无非是度过了五年级，时间却有魔法经历非凡。躲在卧室里的灵魂最向往蓝天，藏在头盔中的容颜最渴望看见。你其实并没有炸掉死星，楚巴卡会令有些人变得不凡。一杯水能让光影折射，一个男孩能让善良被选择。奥古是杯水，折射出每个人的善意。,2018-01-06 23:34:05
5,艾晨,力荐,五星推荐。不是想象的励志片，而是一部关于所有人的成长电影，就像那句话说的，聪明是一种天赋，但是善良是一种选择。电影并没有过分渲染小男孩，而是多角度展示身边的人，最终构建了一个充满天使和爱的世界。推荐有孩子的家长看，要知道，如果你们家有熊孩子，不是因为生的不好，而是你们教的不好。,2018-01-19 15:01:19
6,张小北,力荐,电影里的世界太单纯美好，但是，有些人还是愿意去相信一次的，不然我们为什么要去看电影呢？,2018-01-21 21:01:46
7,国王KING,力荐,To be true or to be kind？To be kind. 很虐心的一部戏，泪点密集，频频被击中。会眼湿湿是因为被人性的闪光点戳到了，很温暖。,2018-01-20 14:55:16
8,愛永,力荐,比預告好看N倍！多重視角的敘事下，每個人都是主角，也都是配角。每件事都有兩種解釋，每個人都有不為人知的掙扎。善以待人，雖是老生常談，卻依舊是人生在世得以讓彼此過得更好最簡單的方式。,2018-01-10 16:01:21
9,同志亦凡人中文站,推荐,有种糖放多了的感觉，精华基本都在预告里了。但对孩子们的纯真友情毫无抵抗力啊，就像被温柔的抚摸了一下软肋。Jacob Tremblay涂着厚厚化妆都能感受到演技，小李子真好意思把奥斯卡摆在家里吗...,2017-11-24 15:57:52
10,桃桃林林,推荐,其实这更像当代童话，因为，实在是太暖了。里面每个人都那么暖，怎么可以那么暖，怎么可以那么暖！像一个暖心的童话故事。虽然，我也怀疑这样故事的真实性，但是，却喜欢被这样暖的故事感动，一度哭到不行。,2018-01-19 14:18:28
11,赫恩曼尼,力荐,在电影院里从头哭到尾，哭得怪不好意思的……但是从爸妈到小男孩，到那个帅气的小正太Jack Wil，真的好暖心啊，全程无抵抗力。要是每个孩子最终都能被这么温柔对待就好了。,2018-02-03 20:08:29
12,影志,推荐,“生命流逝太快，我们都没来得及多看对方一眼。” 那个帮助奥吉的同学杰克·威尔，在跟同学打架后，委屈扑在老师怀里的表情太心碎了…,2018-01-22 18:02:52
13,null,推荐,结尾把奖颁给另一个小孩就好了，特殊人群需要的不是特殊关注，而是不被当成特殊人。,2018-01-30 23:22:04
14,Aurora~,力荐,”当你必须在正确与善良之间做选择时，请选择善良。”虽然是关于奥吉成长的励志故事，但并没有过度渲染奥吉，而是多视角讲述每个人的故事，因为弟弟被忽视的姐姐维娅，害怕被孤立而说了违心话的杰克，渴望家庭和朋友而撒谎的米兰达，他们有的人或许因为各种各样的原因犯过错，但是他们在最后都在正确与善良之间选择了善良。每个人都是生活的主角，每个人都至少值得大家起来为他们鼓一次掌。,2021-03-10 23:56:30
15,私～川流,推荐,买票的时候很纠结，因为是完全可以预料到的剧情。这种温馨少年故事虽各各不同却又次次类似。若是你近来心情疲惫，这部电影是个流泪的好借口。,2017-12-06 17:14:08
