序号,评论者,评分,内容,时间
1,詩優_shuu,力荐,再多分开牛逼的岁月，也比不上一起傻逼的时光。这个电影必须要看。。。,2011-05-19 18:49:08
2,五摆五折,推荐,再多各自牛逼的时光，也比不上一起傻逼的岁月。,2011-09-14 03:48:03
3,___amoa,推荐,但是，如果她们都没有钱，故事还能顺利的展开、完美的收场吗,2011-09-11 18:00:35
4,狷介有乌青,力荐,一起哭，一起笑，一起疯，一起闹，一起尽情折腾我们的人生，即使老去也有最美最好的青春可以一起祭奠。,2011-09-10 20:19:21
5,撒旦的表妹,力荐,夏春花简直就是我的理想型！已弯！,2014-03-10 22:56:37
6,胡子（胡续冬）,力荐,同是姐妹片，比《伴娘团》牛逼多了。大有中学不良少女团体史诗片气概,2011-09-13 22:21:46
7,Doublebitch,推荐,早知解散后各自有际遇作导游，奇就奇在接受了各自有路走，却没人像你让我眼泪背着流，严重似情侣讲分手,2011-09-27 09:57:57
8,绿洲,力荐,五星佳片！一部人生的缩影！,2011-09-11 16:28:31
9,桃桃林林,推荐,其实片子的问题很多，表演过度，两组时空变化有时会很牵强且情节有断。不过仍然被感动了，回忆跟青春真是一辈子也不会烂的催泪神技啊！熟悉的旋律，友情与爱情。结尾收的也好，终于没有韩片尾大不掉的毛病了，适时而止反而有些回味。,2011-09-12 12:21:18
10,琦殿,推荐,我操那哥们儿为什么长得像柔和版本的言承旭！,2011-11-12 17:22:02
11,Tiffany♥,力荐,泪水和欢笑可以同时绽放。2011最爱韩国电影。无悔的青春就是和你们一起范2傻笑打闹。我们是永远的好朋友好姐妹。,2011-09-11 02:12:28
12,影志,力荐,过去与现在交织的镜头完美无缝，笑声与泪水共融的是我们回不去的年少，或纯真，或傻逼。又一部以情取胜的韩片，没有传说中的那么牛逼，却也真挚可贵。“我们说好以后要再见，如果有因为自己飞黄腾达而装逼的丫头，大家就找过去惩罚她；如果有因为自己穷而大气都不敢出的丫头，要折磨她到有钱为止。”,2012-01-01 14:20:01
13,aluuuuuuuuuuuu,推荐,再怎么帅气的初恋情人最后还是会变成糟糕的大叔。。。,2011-09-30 06:43:30
14,九尾黑猫,还行,就挺逗乐的吧，有青春有热血。但故事真没什么可圈可点的地方，包括长大后的遭遇和梦想的差距，多番贵人出手，戏剧性转折，完全是靠天上掉馅饼撑着。虽然一直在讽刺韩国各种流行文化，故事本身也不能免俗的成为其中的一员。,2012-01-07 16:50:04
15,沉歌,推荐,“你好，未来的XX。我是高中生XX，很高兴见到你，你以后会成为……”，当梦想最终照进现实，高中生的我，也希望你不要太过失望。,2011-10-12 00:32:10
