序号,评论者,评分,内容,时间
1,mjxian,推荐,如果你在下雨天的车站，遇到被淋湿的妖怪，请把雨伞借给它，你会得到森林的通行证哦,2012-09-19 22:16:47
2,寂地,力荐,那音乐壮丽的响起的时候，觉得心里被一种温暖充满，然后实在控制不住眼泪了，不是因为伤心，而是因为，它给人的感觉，实在美好到无法表达了．,2006-01-03 17:44:39
3,苏比,推荐,原来龙猫的戏份这么少啊。,2011-01-20 22:48:17
4,Lan~die,力荐,"龙猫，好烂漫的幻想。
消失的乡下风景、慈祥的爷爷奶奶、嬉笑追逐的儿时玩伴，是童年最纯真美好的回忆。",2007-02-10 09:19:52
5,Q。,力荐,"人人心中都有个龙猫，童年就永远不会消失，爱是最美的拥有～

★★★★★",2008-09-01 09:45:33
6,沉歌,力荐,我要告诉你，纯真是一种财富。,2007-10-03 15:06:29
7,赫恩曼尼,力荐,宫崎骏真是个内心柔软的天才。能给这个残酷的世界这么多温暖。龙猫真像童年时的一场梦，长大之后似乎忘记了，突然看见它毛茸茸的身躯，就想起了所有的奢望。这大概就是我们得以在孤独中相互告慰的东西吧。无论怎样，成熟都是一场病，而能够治愈它的，大概只有对这个世界最温存的渴望。,2013-08-08 00:28:36
8,宅蘑菇Moku,力荐,摸摸龙猫的鼻子胡须就会颤动起来哦=w=……看见斜眼偷瞄逃跑的小白一定要跟上去！ 童话总是在相信它的人心中真实的存在着，想起来的时候心中就会充满温暖守护的力量,2011-10-12 23:04:14
9,大头绿豆,力荐,我好像看到小月和小梅坐在那棵松树上对我们笑。“搞不好真是她们呢。”,2006-09-23 13:07:18
10,Lycidas,力荐,下雨天龙猫撑着伞，突然有树梢积累的大颗水珠滴下来发出砰的声响，它很开心，很喜欢那个声音，就跳起来震得树上雨水纷纷落下。20181215 和妈妈一起进影院重看。30年过去，这个永恒的夏日童话依然纯真得令人泪下，提醒着无忧无虑的日子已经一去不返，如今的我，想必已经再也看不到龙猫和猫巴士了吧。,2010-12-16 18:13:38
11,战国客,还行,这个情节也太简单点了吧……,2008-11-21 18:30:02
12,无所谓则无所畏,力荐,萌啊，给我一只龙猫吧,2010-07-25 21:16:42
13,木卫二,力荐,因为缺少重看的观影经历，又被那套网络上的都市传说所影响（已辟谣），一直在疑心，年少时，是不是真有遗漏掉关键信息。得益于二十年后的重映，大银幕上重温，依然觉得是个单纯无比、被孩童想象所充盈和浇筑的成长故事。里面有美化过后，昭和年间的田园风貌回忆。樟树王、老房子、水稻田、乡间小路和巴士车。 小孩子能看见龙猫，自然是关于童心无邪。除了制造人类与大自然的连接，更多是因为，小孩子才能看见美好、已经失去的东西（考虑到电影制作于昭和最后一年），无论是乡村，还是不存在的，被美化提炼的幸福回忆。 《龙猫》的恐惧，止于小孩子对黑暗的想象（无人空屋、林中深处和天黑落雨）。其实，如果有童年在乡下成长经验的影迷朋友，应该很容易理解由孤独所引发的心理感受，需要灯光、温暖暖、家庭与人群所围绕。,2018-12-14 21:30:24
14,冰红深蓝,力荐,"宫崎骏最纯净无邪、恬淡温情的一部作品。没有反角、猜忌、冲突与灾难，即便是""鬼屋""、密林、神怪也都浸染着童趣可人之色。呆萌的龙猫，喜欢水珠落在雨伞上的声音，乘着陀螺起飞，催种子发芽，在树梢上吹橡子。煤炭精灵同[千与千寻]。十脚猫巴士与老鼠车灯。母亲的病也不致命，一切都很美好。（9.0/10）",2016-02-06 17:10:04
15,傻白甜,力荐,最喜欢的一部动漫 其实没有什么大的冲突点 整个就很平淡叙述 但一点也不会觉得无聊 看的很入迷 龙猫也超萌的  也看过很多遍 每看一次就又喜欢多一点,2018-01-11 12:22:54
