序号,评论者,评分,内容,时间
1,九尾黑猫,推荐,这个动画片再次证明了，不怕讲老故事，只需要有颗不老的心。打动人的是里面的小情趣，小可爱，小孤独，坚硬外表下谁都渴望一颗被温暖的心。真的远比toy3得我的心。,2010-11-30 02:23:43
2,Quaikie魁克,力荐,比玩具总动员3还要好看，同意的点有用,2010-07-10 06:27:15
3,桃桃林林,推荐,虽然很俗套，依然百看不厌。那黄黄的小豆子们怎么那么像雷曼兔啊。片中还有WII的镜头。真是又可爱又感动，三个小姑娘太亲切了，还有斯蒂夫·卡瑞尔的精彩配音,2010-11-20 11:52:51
4,郭二,力荐,绝对史上top 5级别的动画片！！豆瓣评分不上9没天理,2010-07-11 23:48:05
5,傻白甜,推荐,呐呐呐呐呐呐小黄人萌死了，声音简直魔性，还有小女孩也好萌啊，心都要萌化了,2018-02-12 22:31:59
6,MiuMiu,力荐,太喜欢里面人物的造型了！！！里面那个扎冲天马尾的小女孩萌到我心都融了。。。,2010-07-13 23:23:58
7,Vespertine,力荐,那群黄黄的不知是什么的玩意儿很有爱的说～本片同时适合所有大叔控观赏：）,2010-07-14 11:38:50
8,猪大腿,力荐,90/100。就冲着那个过山车你也得进一次电影院！小猫咪的睡前故事太萌了啊啊啊！！！,2010-07-10 18:53:14
9,viennavirus,推荐,蒸汽朋克与极客宅男的较量，又拿比尔盖茨开涮，微软总部的鱼缸,2010-12-10 02:36:51
10,蛮爷,推荐,我也要生一个抱着腿甩都甩不掉的小丫头，再买个那种带动作的睡前小故事书，每天不听一遍不让她睡觉。,2010-12-08 18:50:21
11,Victor,力荐,"黑马,绝对的黑马!太好看了.笑点也太多了吧.",2010-07-10 10:14:30
12,ponsitree,推荐,不知那些小玩意的玩具有没有上市，有的话一定去搞几个，太逗乐了。,2010-07-11 04:30:15
13,憬年,力荐,有细节 各种惊喜各种萌， 虽然煽情痕迹严重 不过不影响片子整体。,2010-07-11 15:01:25
14,同志亦凡人中文站,推荐,配角最抢戏 情节不给力,2010-11-27 09:52:04
15,文泽尔,推荐,钟楼怪人功夫高手率领小黄人团队拯救非血缘孩子的父爱亲情搞笑励志故事.一切情节皆是套路化 每一步都能猜到下一步人物行动（比如进攻眼镜幼儿博士研究所城堡出导弹那一段，以及飞碟出走走钢丝、孩子掉落、月球滚动等等）确实是可以看得很欢乐 但除了欢乐 以及细节处理很好之外 也再找不到更多亮点,2010-12-15 23:51:15
