序号,评论者,评分,内容,时间
1,大头绿豆,力荐,"“从某种意义上来说，我所有的浪漫
都在一夜之间消耗光了...”",2006-09-25 22:59:01
2,桃桃林林,力荐,他为她写了本书，她为他写了首歌。其实，他们都记得，每个细节。这部就是来还愿的，又是一个开放式的结局。我想这次他们应该不会错过彼此了吧。,2010-06-06 20:03:28
3,荒也,推荐,最喜欢一起上楼梯那段，也是两小时话痨电影里唯一没有对话的一段，和九年前两人在视听室里一样，安静，尴尬，暧昧得浓厚。,2012-09-05 01:34:25
4,眠去,力荐,她瘦了。好爱她那件黑色小衫，后背开襟。只是从她拥抱他开始，眼泪就往下掉,2007-09-15 08:17:01
5,苇间疯,力荐,走啊说啊走啊，与一个能从婚姻、政治和理想谈到吹箫、快感和高潮的女人。整个过程，如Deja Vu，却又具象得令人发懵。回忆奇异飘渺，我会用三年的时光无间断地想念一晚上的事，却不愿用一晚上的时间去思索这三年中发生过什么。,2010-09-01 20:38:19
6,D I D A,力荐,这是我看过的关于男女相遇相爱最美好又最清醒的电影。,2010-02-16 01:04:13
7,南笙,推荐,最后的结尾，杰西坐在沙发上似笑非笑的看着塞林，他一定在想，这个女人太他妈可爱，可爱的想立即上了她，再娶她。,2012-01-06 23:29:25
8,林||我们谈什么都像谈死！,力荐,如镜子一样的台词,2006-11-03 10:06:48
9,影志,力荐,"“回忆本来是非常美好的，只要你能让过去的都过去”、“当你年轻的时候，你会相信你会认识很多人，但后来你才发现能交流的人其实很少” 九年后，一切从未改变。Celine: ""Baby, you are gonna miss that plane"". Jesse:"" I know...""",2007-11-22 03:04:38
10,起床，吃饭,力荐,能把两个人一直在叨叨的戏调度得这么好，层层推进的节奏把握得当，真是了不起。两个人的表演炉火纯青，一开始的互相闪躲、欲说还休，到后段的互相怜惜和自怜都拿捏得非常细腻，这片子好看。,2013-06-10 10:49:19
11,susu/苏酱,力荐,这个导演太牛了。我喜欢他们３个人一气写的台词。,2006-01-17 12:40:59
12,天亮天黑,推荐,浪漫邂逅，偶然错过，久别重逢，物是人非……祝你们最后上床了,2010-07-18 23:23:11
13,同志亦凡人中文站,力荐,两人都经历了很多事，可心灵时间仿佛只是一个弹指。那已经不是虚无缥缈的年少浪漫了，而是在被社会分别抛光打磨、改头换面后依然一眼能认出对方来的长相知。日落比日出更让我喜欢，六星，可以吗？！,2013-07-13 23:25:28
14,亚比煞,推荐,欲买桂花同载酒，终不似，少年游。,2012-02-27 07:41:02
15,红发安,推荐,好的不得了的对白,2006-02-18 11:10:52
