序号,评论者,评分,内容,时间
1,沉歌,力荐,男人贪心，女人贪爱,2012-02-08 13:29:42
2,又烧包小队长,力荐,这片最大的反转不是影片末尾的谜底揭晓，而是看完影片后我查到女主角拍摄时已经五十六岁了。昏迷。,2016-06-06 08:54:25
3,丁一,推荐,律师三寸舌，妇人宫心计，两者皆不敌，最坏男人心，花心郎算尽太聪明，反算了戚戚性命,2009-11-30 09:10:01
4,Q。,推荐,"无论是剧本、导演还是个人表演，几乎都无可挑剔。机智的台词和精彩的法庭辩论，十足精彩！即便在结局前猜到了最终结果也并不会让电影在精彩程度上有丝毫削减。btw,电影最后提示请勿剧透我还真是头一会见。★★★★☆",2011-07-10 22:55:56
5,般若死火,力荐,好片遇上好字幕~爽,2010-02-22 01:22:58
6,XA™,力荐,五星级结局，难以置信这是1958年的黑白电影！,2010-06-18 20:27:23
7,黄青蕉,力荐,比利怀德真的是各种意义上的领先时代五十年，连防剧透声明都领先了,2017-04-26 22:23:35
8,大奇特(Grinch),力荐,查尔斯劳顿简直是戏精！比利怀德的电影和阿加莎克里斯蒂的小说都是在结尾峰回路转，此片简直是两位大师珠联璧合的杰作！,2009-01-24 11:59:21
9,桃桃林林,力荐,阿加莎·克里斯蒂的精妙情节配上比利·怀德的风趣对白，以及查尔斯·劳顿、玛琳·黛德丽、泰隆·鲍华等人的精彩表演，几近完美的电影。不老的玛琳·黛德丽，又被感动了，真棒。,2011-07-10 11:36:22
10,蚂蚁没问题,推荐,演的不错，但是结局也没有说的那么玄乎吧？多读几本阿婆的书，这样的结局还不是手到擒来。,2011-07-10 14:00:28
11,妖小木,推荐,仔细想，女主居然没有作一句伪证。,2023-08-30 15:44:40
12,花儿果果,力荐,又是让我尖叫打滚的经典佳片！绅士又纯青的表演，奇妙而精巧的情节推进，幽默且风趣的细节，当然还有巧夺天工的结局！尽管后来的电影常常窥见模仿此处环节之处，但查尔斯劳顿、玛德琳黛德丽和比利怀尔德终究是无法复制的！,2010-08-11 17:12:15
13,jiyun,力荐,诙谐的对白，严谨的思路，一心要把观众往沟里带的情节。ps:我觉得那个女仆的表演也很不错！,2012-01-10 00:33:54
14,影志,力荐,抱着对法庭题材的偏见去看，没想到竟是一部够回味好几天的片子，不仅仅因为惊艳的结尾，整部戏就像让观者身临其境一样，思其所思、忧其所忧，黑洞一样的剧情吸引着人，最后把你完全裹住、迅速吞噬。演技、导演、编剧真是惊为天人。第一部怀德片。,2013-05-06 15:25:13
15,沉舟侧畔luu,力荐,最后Christine精准打击渣男一刀致命，真是比那些只知道揍小三然后原谅渣男的女人高了不知道多少级👊,2020-10-12 16:10:37
